state_code,state,lat_centroid,lon_centroid,population_2010,population_2019,gdp per capita (2017),user_count,spatial_diversity_romance_0.99,social_diversity_romance_0.99,spatial_diversity_identity_0.99,social_diversity_identity_0.99,spatial_diversity_trust_0.99,social_diversity_trust_0.99,spatial_diversity_status_0.99,social_diversity_status_0.99,spatial_diversity_fun_0.99,social_diversity_fun_0.99,spatial_diversity_similarity_0.99,social_diversity_similarity_0.99,spatial_diversity_power_0.99,social_diversity_power_0.99,spatial_diversity_conflict_0.99,social_diversity_conflict_0.99,spatial_diversity_knowledge_0.99,social_diversity_knowledge_0.99,spatial_diversity_support_0.99,social_diversity_support_0.99,spatial_diversity_romance_0.95,social_diversity_romance_0.95,spatial_diversity_identity_0.95,social_diversity_identity_0.95,spatial_diversity_trust_0.95,social_diversity_trust_0.95,spatial_diversity_status_0.95,social_diversity_status_0.95,spatial_diversity_fun_0.95,social_diversity_fun_0.95,spatial_diversity_similarity_0.95,social_diversity_similarity_0.95,spatial_diversity_power_0.95,social_diversity_power_0.95,spatial_diversity_conflict_0.95,social_diversity_conflict_0.95,spatial_diversity_knowledge_0.95,social_diversity_knowledge_0.95,spatial_diversity_support_0.95,social_diversity_support_0.95,spatial_diversity_romance_0.9,social_diversity_romance_0.9,spatial_diversity_identity_0.9,social_diversity_identity_0.9,spatial_diversity_trust_0.9,social_diversity_trust_0.9,spatial_diversity_status_0.9,social_diversity_status_0.9,spatial_diversity_fun_0.9,social_diversity_fun_0.9,spatial_diversity_similarity_0.9,social_diversity_similarity_0.9,spatial_diversity_power_0.9,social_diversity_power_0.9,spatial_diversity_conflict_0.9,social_diversity_conflict_0.9,spatial_diversity_knowledge_0.9,social_diversity_knowledge_0.9,spatial_diversity_support_0.9,social_diversity_support_0.9,spatial_diversity_romance_0.85,social_diversity_romance_0.85,spatial_diversity_identity_0.85,social_diversity_identity_0.85,spatial_diversity_trust_0.85,social_diversity_trust_0.85,spatial_diversity_status_0.85,social_diversity_status_0.85,spatial_diversity_fun_0.85,social_diversity_fun_0.85,spatial_diversity_similarity_0.85,social_diversity_similarity_0.85,spatial_diversity_power_0.85,social_diversity_power_0.85,spatial_diversity_conflict_0.85,social_diversity_conflict_0.85,spatial_diversity_knowledge_0.85,social_diversity_knowledge_0.85,spatial_diversity_support_0.85,social_diversity_support_0.85,spatial_diversity_romance_0.8,social_diversity_romance_0.8,spatial_diversity_identity_0.8,social_diversity_identity_0.8,spatial_diversity_trust_0.8,social_diversity_trust_0.8,spatial_diversity_status_0.8,social_diversity_status_0.8,spatial_diversity_fun_0.8,social_diversity_fun_0.8,spatial_diversity_similarity_0.8,social_diversity_similarity_0.8,spatial_diversity_power_0.8,social_diversity_power_0.8,spatial_diversity_conflict_0.8,social_diversity_conflict_0.8,spatial_diversity_knowledge_0.8,social_diversity_knowledge_0.8,spatial_diversity_support_0.8,social_diversity_support_0.8,spatial_diversity_romance_0.75,social_diversity_romance_0.75,spatial_diversity_identity_0.75,social_diversity_identity_0.75,spatial_diversity_trust_0.75,social_diversity_trust_0.75,spatial_diversity_status_0.75,social_diversity_status_0.75,spatial_diversity_fun_0.75,social_diversity_fun_0.75,spatial_diversity_similarity_0.75,social_diversity_similarity_0.75,spatial_diversity_power_0.75,social_diversity_power_0.75,spatial_diversity_conflict_0.75,social_diversity_conflict_0.75,spatial_diversity_knowledge_0.75,social_diversity_knowledge_0.75,spatial_diversity_support_0.75,social_diversity_support_0.75,spatial_diversity_romance_0.5,social_diversity_romance_0.5,spatial_diversity_identity_0.5,social_diversity_identity_0.5,spatial_diversity_trust_0.5,social_diversity_trust_0.5,spatial_diversity_status_0.5,social_diversity_status_0.5,spatial_diversity_fun_0.5,social_diversity_fun_0.5,spatial_diversity_similarity_0.5,social_diversity_similarity_0.5,spatial_diversity_power_0.5,social_diversity_power_0.5,spatial_diversity_conflict_0.5,social_diversity_conflict_0.5,spatial_diversity_knowledge_0.5,social_diversity_knowledge_0.5,spatial_diversity_support_0.5,social_diversity_support_0.5,diversity_social_all_minstrength_1,diversity_social_all_minstrength_2,diversity_social_all_minstrength_3,diversity_social_all_minstrength_4,diversity_social_all_minstrength_5,diversity_spatial_all_minstrength_1,diversity_spatial_all_minstrength_2,diversity_spatial_all_minstrength_3,diversity_spatial_all_minstrength_4,diversity_spatial_all_minstrength_5
MI,Michigan,43.326618,-84.536095,9883640,9986857,42631,19226,0.0109417,0.010702363,0.00936498,0.009288286,0.010571838,0.010350902,0.009445954,0.011451255,0.0109648,0.010425233,0.01007368,0.009868112,0.008585841,0.009010387,0.0094713,0.009730321,0.00904053,0.008865989,0.009632397,0.0109517,0.05942913,0.073965295,0.045426122,0.053246111,0.056778667,0.068436022,0.056700355,0.077404106,0.056872049,0.066876913,0.052181829,0.064029505,0.041707236,0.051465232,0.041504913,0.048860138,0.045236463,0.054357852,0.055939795,0.072737899,0.102820408,0.143201651,0.083460927,0.10849523,0.101768345,0.138752265,0.105112873,0.153945533,0.10276788,0.137998706,0.09351057,0.128272622,0.085717433,0.116710142,0.075413624,0.096191713,0.077683814,0.104767681,0.102168754,0.145896225,0.137367671,0.20627295,0.115902305,0.162199423,0.137799589,0.20508032,0.13989443,0.217664606,0.138291606,0.203488619,0.128037474,0.188680477,0.122748722,0.18098373,0.105014479,0.143074178,0.102603546,0.149127678,0.136597067,0.20877613,0.165942892,0.263890777,0.143704415,0.213267645,0.166688754,0.26509961,0.167347287,0.273084562,0.165940142,0.259912782,0.158140775,0.245795956,0.152481631,0.237921891,0.13155007,0.188694973,0.126081256,0.193889816,0.164533502,0.264541557,0.189254593,0.315407343,0.167159541,0.260406129,0.189224875,0.313747035,0.189545277,0.319687401,0.188987718,0.311380943,0.185700053,0.302551589,0.176925422,0.289273544,0.155416664,0.234457793,0.148442919,0.238220551,0.187988062,0.315558769,0.269380382,0.514150496,0.251414901,0.464511772,0.265832571,0.510430077,0.26680393,0.514325737,0.269472144,0.516990724,0.270391066,0.521161825,0.25891339,0.491246879,0.246855699,0.448480116,0.235361212,0.437926084,0.266529296,0.515991836,0.782627902,0.691875487,0.589507542,0.523623791,0.468536504,0.347164954,0.264778665,0.197451272,0.160281244,0.134349573
IN,Indiana,39.849426,-86.258278,6483802,6732219,44797,8796,0.009145342,0.009405709,0.007722994,0.007983404,0.009530411,0.009634768,0.008935958,0.011187106,0.008762735,0.008916461,0.008971708,0.009070244,0.006731265,0.00699101,0.007582561,0.007948914,0.008093242,0.007798683,0.009123586,0.0106477,0.050687588,0.064411159,0.042139518,0.050045092,0.053540403,0.065713691,0.051356558,0.072003048,0.050910823,0.061634951,0.048824878,0.061040417,0.038214148,0.046777629,0.037751352,0.045649926,0.04282389,0.052139579,0.052163799,0.069368793,0.090289621,0.12652633,0.077660519,0.101668325,0.094348742,0.130845814,0.09551158,0.141128641,0.09403269,0.128372866,0.091145181,0.129311224,0.077063151,0.103357286,0.070439485,0.092430612,0.074057692,0.103556218,0.094126406,0.136038195,0.124162168,0.187832079,0.106778056,0.15093725,0.126960591,0.190230312,0.126267036,0.196320594,0.127054416,0.188838669,0.124840983,0.190235809,0.109601748,0.159780022,0.098338906,0.136979319,0.099301659,0.150383249,0.125856104,0.194715031,0.152255211,0.245154882,0.131171543,0.197232098,0.152368702,0.243749371,0.152886926,0.249691335,0.154005438,0.244702133,0.153934742,0.247578228,0.136633201,0.211157314,0.124579861,0.183496877,0.122777894,0.194877448,0.151467551,0.24705519,0.175084385,0.29538956,0.15302004,0.240956343,0.173250653,0.289605451,0.17432415,0.295450384,0.175514978,0.292725752,0.178635241,0.299493979,0.160136817,0.261221043,0.145825677,0.224413966,0.14437283,0.238660491,0.174035454,0.295958598,0.256491901,0.499073498,0.235491798,0.441529032,0.248696327,0.480956472,0.250602097,0.489288678,0.255741074,0.497384045,0.257758038,0.503193547,0.241042622,0.461661659,0.230962995,0.426357248,0.227033284,0.43224534,0.250617608,0.490187715,0.772697976,0.688047086,0.581975418,0.513241426,0.444735577,0.334955006,0.257398798,0.191458107,0.15135443,0.12039711
AL,Alabama,32.806671,-86.79113,4779736,4903185,36856,7487,0.010178928,0.0107587,0.008371745,0.008613989,0.009076628,0.009885748,0.007686888,0.00986398,0.009306929,0.009764416,0.009204861,0.009571024,0.007223417,0.00800788,0.007536542,0.008180215,0.00778975,0.008214532,0.008430389,0.0103454,0.052926925,0.071200627,0.040212453,0.050352658,0.051085513,0.068375518,0.049725749,0.074582358,0.048498428,0.061019698,0.044588986,0.058941347,0.037107612,0.048098263,0.035919462,0.044130106,0.038467567,0.049153663,0.048789308,0.070516311,0.090257173,0.134945063,0.073179222,0.102891847,0.091054319,0.136866971,0.090768785,0.145939799,0.088045721,0.127539604,0.080606855,0.121054897,0.076733813,0.112114486,0.067176921,0.08995434,0.067083724,0.098089471,0.088590998,0.140550669,0.120529586,0.195016795,0.100897333,0.152343249,0.123548654,0.202883749,0.121471095,0.207768258,0.11872305,0.190606437,0.111760112,0.178792408,0.108517568,0.172788843,0.093230977,0.133273373,0.089850501,0.140585781,0.120897561,0.206322923,0.146062011,0.251428853,0.125024783,0.201478328,0.147883703,0.259158625,0.145918835,0.262433354,0.143948079,0.247035899,0.140100669,0.236879632,0.135341696,0.229389913,0.116573013,0.176161187,0.110296605,0.18191495,0.145266493,0.261622867,0.168014853,0.303658645,0.147452785,0.250147597,0.167755167,0.308012197,0.166314995,0.309670572,0.165153055,0.298998051,0.165532892,0.292920961,0.157350851,0.279605367,0.13737531,0.21865946,0.129579574,0.225089567,0.166498257,0.311382177,0.241780172,0.503256201,0.224496595,0.452506036,0.23737427,0.49855171,0.237360831,0.502773901,0.240250651,0.503959422,0.242961426,0.511522828,0.231643111,0.482480306,0.221025787,0.431293757,0.207848173,0.420558015,0.237798094,0.508296783,0.773069562,0.666815588,0.583635903,0.526066222,0.475101178,0.313184484,0.233618621,0.178420411,0.146016859,0.119721011
MA,Massachusetts,42.230171,-71.530106,6547629,6949503,64507,20375,0.012565923,0.012096225,0.013370998,0.013329953,0.012052593,0.011578797,0.010416621,0.012157639,0.012692165,0.01231159,0.013384976,0.013586637,0.011754781,0.013385076,0.011502042,0.011820358,0.013586964,0.013836098,0.011373526,0.012219289,0.066069307,0.081868065,0.056839688,0.067385395,0.061829106,0.073547056,0.060716565,0.081335922,0.062847796,0.073835421,0.060245631,0.074768911,0.053012197,0.067782221,0.04962799,0.059217756,0.057941953,0.071796789,0.060497653,0.077639499,0.112153437,0.154919228,0.096256054,0.126915117,0.108350753,0.146058003,0.112407426,0.162720024,0.11115729,0.149352003,0.1042269,0.14377408,0.099994809,0.139157841,0.086999249,0.113528929,0.093206066,0.129178637,0.108188971,0.152860587,0.148743862,0.221338195,0.128808629,0.182278996,0.143617164,0.210501881,0.148298312,0.227528174,0.147769792,0.217088976,0.13911577,0.20610624,0.137642331,0.205137716,0.118421022,0.164956141,0.119709891,0.178358825,0.14474479,0.218859358,0.177921402,0.280904373,0.156503198,0.23508307,0.172825944,0.270353315,0.177586964,0.286069677,0.176122373,0.276248942,0.169053097,0.26396219,0.166938102,0.263036784,0.146199579,0.214248215,0.144199744,0.226341476,0.173460475,0.277964488,0.202893148,0.335661894,0.180994339,0.285393623,0.195504741,0.320021151,0.199935214,0.334470709,0.200094464,0.330270306,0.196441008,0.321407649,0.190886852,0.314656125,0.170484096,0.261521869,0.167777789,0.274620958,0.19723292,0.328779207,0.282063433,0.540151663,0.26516343,0.491329592,0.273804635,0.522582579,0.276342193,0.532401674,0.280353123,0.537896387,0.280090747,0.538151722,0.271593342,0.518042264,0.260001305,0.475445768,0.25194862,0.477253865,0.274733121,0.528576985,0.80492894,0.71284856,0.608988203,0.54561048,0.489975333,0.356119153,0.271862033,0.204504489,0.168475778,0.141436451
MO,Missouri,38.456085,-92.288368,5988927,6137428,42943,15367,0.010792448,0.010656014,0.009384513,0.00962232,0.011090616,0.011177516,0.009129842,0.011077702,0.011294157,0.011378279,0.010166005,0.010176153,0.008363949,0.009598141,0.009434036,0.009971825,0.009356892,0.009623315,0.009264652,0.010868472,0.056536588,0.071936345,0.044677073,0.05423865,0.056703125,0.07108375,0.052277999,0.073398943,0.054610719,0.067040614,0.051419589,0.065355257,0.042564857,0.054373386,0.042607791,0.051975357,0.045937371,0.057215816,0.054392476,0.073497529,0.096825477,0.138241184,0.081152403,0.109547959,0.099185211,0.140239541,0.098273588,0.147625502,0.097062099,0.135633238,0.09193534,0.13169459,0.083268974,0.116811225,0.075515999,0.100404659,0.078235373,0.109305502,0.097118129,0.143386316,0.129620885,0.199356341,0.110958317,0.161198384,0.131720874,0.20163215,0.13010531,0.209349542,0.129831591,0.197943178,0.125295597,0.191512936,0.117075918,0.17854277,0.104546177,0.149013999,0.102170039,0.154112325,0.129839018,0.204976582,0.155834768,0.254078927,0.136883118,0.211463305,0.157830637,0.257273218,0.155854343,0.262815209,0.15560413,0.254696799,0.154016165,0.24904797,0.144410637,0.23368328,0.130170544,0.195327981,0.125279183,0.199977659,0.156153784,0.260806144,0.178148055,0.304339554,0.159508212,0.258079407,0.178876736,0.306202123,0.177907048,0.310643811,0.178926379,0.307169665,0.178921436,0.303483926,0.167529195,0.2835642,0.152729415,0.239524502,0.146855618,0.244242616,0.178221655,0.312219141,0.257707215,0.510937553,0.239251972,0.460386285,0.252935416,0.503203506,0.252752903,0.50677192,0.257794445,0.514175429,0.258471188,0.51743256,0.245748936,0.48261687,0.237822755,0.447900339,0.230447062,0.445224503,0.252214648,0.506866471,0.787863798,0.69697517,0.599421237,0.533691554,0.473765221,0.335388016,0.254650665,0.190316814,0.154762736,0.125957548
MN,Minnesota,45.694454,-93.900192,5303925,5639632,53380,16202,0.012244088,0.012268163,0.012035142,0.012077813,0.012110864,0.012081834,0.009827508,0.011952388,0.012784702,0.012371762,0.012060961,0.011473564,0.010022706,0.010655741,0.011491984,0.012039517,0.011786233,0.011631114,0.010771193,0.012121481,0.062102469,0.078234973,0.052602779,0.062451474,0.06009376,0.073153635,0.057237597,0.078968642,0.061382116,0.073700398,0.056299625,0.068750698,0.047756344,0.05906629,0.047867084,0.057873653,0.051180192,0.061974485,0.058835733,0.077472669,0.107048341,0.15128137,0.091442685,0.120605901,0.104232349,0.143184837,0.105779235,0.158609315,0.105613657,0.144279171,0.097816727,0.133880754,0.092143825,0.125855845,0.082951387,0.109333494,0.085360323,0.116406718,0.103890137,0.150690224,0.14108216,0.214138241,0.122718775,0.174215843,0.139734831,0.210728626,0.140616252,0.223745535,0.139959819,0.208438285,0.133509494,0.197076462,0.128258191,0.190139486,0.112817336,0.158089429,0.111852344,0.163642771,0.139658891,0.217342096,0.169332679,0.271657475,0.150259404,0.225986126,0.168185719,0.269771965,0.169681902,0.281505694,0.16837124,0.267517228,0.162488758,0.25313874,0.157556117,0.247779716,0.139117913,0.20514589,0.135076629,0.208429766,0.167692143,0.274323836,0.193510999,0.324195328,0.174073004,0.273983777,0.191023114,0.321015547,0.192210376,0.329788342,0.192286523,0.320416939,0.189547648,0.311097867,0.182423626,0.302211253,0.162803918,0.250782341,0.156625708,0.251490211,0.190766019,0.326062666,0.273571967,0.526553336,0.256999309,0.478850499,0.267950498,0.519011629,0.269142311,0.527252054,0.271777513,0.526527763,0.273214357,0.531189303,0.263874546,0.507810699,0.252901468,0.466322799,0.241522612,0.449887792,0.26864799,0.526628363,0.793771437,0.69772471,0.598426858,0.537945876,0.485335514,0.349457849,0.262542986,0.19787272,0.160290732,0.132809422
MD,Maryland,39.063946,-76.802101,5773552,6045680,54894,9327,0.010895919,0.010589417,0.009175698,0.009250595,0.009735596,0.009667015,0.009173997,0.011257978,0.010534991,0.010221993,0.010153315,0.010140625,0.009362128,0.010671021,0.008829167,0.009600907,0.010215951,0.010529875,0.009398167,0.010243721,0.058129363,0.072214001,0.044715892,0.053578842,0.054506929,0.065959484,0.054586025,0.075252113,0.053660872,0.063704258,0.052552464,0.066856193,0.043946967,0.056936296,0.041572662,0.050983792,0.047457469,0.059964883,0.052382883,0.068240254,0.100980188,0.141781058,0.080946492,0.106841706,0.097552679,0.133082181,0.101828386,0.151127787,0.09803912,0.133849833,0.092780347,0.131225234,0.086944555,0.121695006,0.074685225,0.099803926,0.078791075,0.112020707,0.096316025,0.137308562,0.135540791,0.204746222,0.111226884,0.15862652,0.132774207,0.197635777,0.135718232,0.214043614,0.132301613,0.199281936,0.125858021,0.190273493,0.122524811,0.181841534,0.103907863,0.148153285,0.103847796,0.158718738,0.131937582,0.201435419,0.16421474,0.263092068,0.138435626,0.207462379,0.160712257,0.253452689,0.163097093,0.266935562,0.160735943,0.258549724,0.154585105,0.246448417,0.151162961,0.237602726,0.129405778,0.193903498,0.127596361,0.204807019,0.158786262,0.254675094,0.187636538,0.315962265,0.161763367,0.254492109,0.182611703,0.301297053,0.184710523,0.313665942,0.183163858,0.307598058,0.181212646,0.302367222,0.174595263,0.287302076,0.15329262,0.239154109,0.150134363,0.250719612,0.181896486,0.305530186,0.266566546,0.514823942,0.24688494,0.461741649,0.258159351,0.49597024,0.259954588,0.505128057,0.264542871,0.512145141,0.264535449,0.513531999,0.254505862,0.488349776,0.243782292,0.450281136,0.233541911,0.447055428,0.259312752,0.503443115,0.781164637,0.69565928,0.588948282,0.536378964,0.471725691,0.342679861,0.259445248,0.193123884,0.159882373,0.13038225
FL,Florida,27.766279,-81.686783,18801310,21477737,39093,29351,0.011167807,0.011120238,0.007946241,0.007563893,0.009916308,0.009659344,0.01005522,0.012639681,0.010272386,0.010220543,0.00924351,0.008948874,0.007883361,0.007959774,0.008404097,0.008114153,0.008693354,0.00839992,0.009904727,0.011549258,0.059510956,0.076693491,0.040710842,0.046213696,0.054949005,0.067669072,0.057975919,0.082494399,0.054203887,0.066320516,0.046402913,0.056449821,0.038963391,0.046911212,0.038083225,0.043625865,0.041833193,0.050402776,0.05464814,0.073874092,0.103892182,0.151076093,0.076196861,0.097494837,0.09783566,0.136968613,0.105393106,0.160995577,0.099743525,0.140445942,0.085240349,0.117571069,0.081543015,0.110650029,0.070075654,0.088494057,0.071766551,0.096998168,0.099010911,0.147302562,0.137407864,0.214828449,0.106297193,0.147373591,0.13341071,0.203874445,0.138905943,0.226296859,0.134645424,0.207795739,0.118294707,0.175375367,0.117725916,0.17604246,0.098490995,0.132885277,0.095289853,0.139117341,0.133645583,0.21290011,0.165124299,0.273734778,0.133228365,0.198295308,0.161942623,0.265068803,0.165201167,0.281359365,0.163026324,0.268013848,0.14801254,0.232303347,0.14701328,0.234827113,0.124216197,0.178167063,0.117842837,0.181475208,0.161570303,0.271656687,0.188075834,0.326185756,0.157234649,0.246670915,0.183884314,0.31502068,0.186991337,0.33000606,0.18617265,0.320935571,0.175814111,0.290601335,0.17088532,0.28716143,0.147526198,0.222949024,0.139126042,0.224195093,0.183966782,0.321706789,0.26333875,0.521171748,0.240615533,0.450995292,0.258471779,0.51147273,0.260619198,0.522130328,0.26358914,0.525740966,0.261718933,0.516562239,0.251731342,0.491857443,0.237957704,0.438600459,0.222746054,0.418739345,0.259232626,0.518288079,0.778292031,0.686585244,0.582208815,0.515593264,0.456103808,0.336788779,0.255024949,0.190152688,0.153971864,0.127728947
OH,Ohio,40.388783,-82.764915,11536504,11689100,46826,19403,0.011033138,0.011071445,0.009532809,0.009578955,0.01093514,0.010903939,0.0098402,0.01198759,0.011073442,0.011081729,0.010849346,0.010889713,0.009075027,0.009740011,0.009457241,0.009576226,0.009897202,0.009935096,0.010523302,0.012209943,0.057742786,0.073324192,0.045571791,0.05358667,0.057811029,0.072399732,0.055750881,0.077673174,0.057981892,0.070461291,0.054309552,0.067887329,0.044205087,0.056589829,0.042946163,0.051637435,0.048289694,0.059575846,0.057026984,0.07759858,0.101396323,0.144648608,0.082285766,0.108954745,0.102229926,0.144303157,0.102637591,0.153781162,0.103144851,0.143739078,0.096760277,0.136975092,0.08615894,0.121476647,0.077694767,0.102292594,0.080699134,0.111457013,0.101781874,0.150652803,0.136582103,0.210715943,0.113056059,0.161309627,0.136383864,0.209081718,0.136216315,0.217546886,0.137103559,0.209959407,0.131849143,0.202168692,0.121112733,0.184826375,0.107118909,0.150929947,0.106009724,0.158683789,0.135735514,0.214790081,0.16426385,0.268507109,0.139036291,0.21080641,0.163653071,0.26662508,0.163572861,0.274088402,0.164415803,0.269359068,0.160835608,0.260984706,0.148626579,0.240353179,0.132922513,0.196960162,0.129767763,0.205949397,0.162168956,0.270939422,0.187773118,0.321889089,0.162084465,0.258567056,0.185024052,0.31478083,0.185531274,0.323294638,0.187657971,0.321606563,0.18655019,0.317231213,0.172041434,0.291004856,0.155800393,0.241828118,0.152497362,0.253986106,0.184541653,0.321829773,0.266321206,0.526667252,0.244319421,0.463643871,0.258588692,0.511263168,0.259385914,0.516892991,0.265790846,0.528963265,0.265569062,0.529245027,0.251987145,0.492986492,0.241894105,0.450285431,0.235531724,0.455733789,0.259153031,0.518206336,0.791396522,0.701339366,0.603074311,0.536780177,0.47551668,0.339336897,0.258404454,0.194043102,0.156788968,0.130537734
CA,California,36.116203,-119.681564,37254523,39512223,57328,60844,0.014955698,0.014683404,0.014588452,0.014525835,0.013482301,0.013165335,0.011529643,0.013844125,0.013793712,0.013702683,0.013790409,0.013762095,0.012302389,0.01371385,0.012835197,0.013186623,0.01399742,0.014128813,0.011882211,0.013354862,0.072722492,0.091551862,0.059679131,0.071659864,0.067132855,0.081194829,0.066316744,0.091136958,0.067772921,0.082008237,0.060476085,0.07491985,0.054602849,0.070511197,0.052048832,0.062130898,0.057979461,0.071617829,0.064514805,0.085339087,0.120800378,0.171010598,0.100940213,0.134573702,0.11525146,0.158701507,0.120403886,0.178983999,0.117898118,0.163354555,0.103643289,0.143949572,0.104778835,0.147700664,0.089824201,0.117701672,0.092879786,0.128843152,0.113916162,0.165423111,0.157624199,0.240001404,0.13426803,0.192163409,0.152787098,0.229160713,0.156873262,0.248263509,0.154634773,0.234320549,0.139324054,0.207851177,0.143732369,0.218509292,0.121784374,0.169744525,0.119065591,0.177063167,0.151479931,0.235381334,0.186020435,0.299914604,0.163277095,0.24823876,0.182971003,0.293078664,0.185740439,0.307728895,0.182981943,0.295186215,0.170420564,0.26861255,0.174122145,0.279404818,0.149869966,0.220066494,0.143584824,0.225320646,0.18101806,0.29658377,0.209770904,0.354692171,0.187511903,0.299139705,0.205904221,0.345142615,0.208562053,0.358440631,0.206847835,0.349083561,0.199012399,0.329362857,0.198725014,0.333581843,0.175173247,0.269633385,0.16665057,0.2735261,0.204943059,0.35001207,0.286823482,0.557293502,0.27079806,0.509383025,0.282269951,0.549504071,0.284390162,0.559413753,0.284558845,0.55542509,0.284544398,0.555120549,0.278459583,0.540069129,0.265276278,0.488822319,0.252607399,0.480425285,0.282256001,0.555336899,0.818995416,0.727907424,0.624986664,0.557760243,0.50156698,0.358606534,0.269558993,0.20211012,0.16502919,0.137939584
